frame_nr,latency [ms]
0.0,47.585
1.0,0.168
2.0,46.32
3.0,47.551
4.0,47.573
5.0,46.343
6.0,47.582
7.0,0.18
8.0,0.157
9.0,47.54
10.0,47.574
11.0,47.597
12.0,47.611000000000004
13.0,47.579
14.0,47.596000000000004
15.0,46.288000000000004
16.0,47.587
17.0,47.546
18.0,47.585
19.0,47.582
20.0,47.521
21.0,47.544000000000004
22.0,46.357
23.0,47.599000000000004
24.0,47.596000000000004
25.0,47.598
26.0,47.552
27.0,47.589
28.0,46.37
29.0,47.61
30.0,47.587
31.0,47.589
32.0,46.302
33.0,47.614000000000004
34.0,47.572
35.0,46.37
36.0,47.606
37.0,47.591
38.0,47.54
39.0,46.361000000000004
40.0,47.587
41.0,47.602000000000004
42.0,46.373
43.0,47.606
44.0,47.599000000000004
45.0,46.374
46.0,47.605000000000004
47.0,47.591
48.0,47.597
49.0,46.378
50.0,47.592
51.0,47.675000000000004
52.0,46.366
53.0,47.7
54.0,47.543
55.0,46.308
56.0,47.582
57.0,47.589
58.0,47.591
59.0,46.348
60.0,47.528
61.0,47.583
62.0,46.371
63.0,188.63
64.0,234.802
65.0,234.799
66.0,236.018
67.0,236.005
68.0,234.778
69.0,234.773
70.0,236.016
71.0,234.805
72.0,234.775
73.0,236.028
74.0,236.012
75.0,234.78300000000002
76.0,236.016
77.0,236.025
78.0,234.785
79.0,234.78300000000002
80.0,236.052
81.0,236.037
82.0,234.802
83.0,234.821
84.0,188.6
85.0,234.775
86.0,236.018
87.0,234.78300000000002
88.0,234.782
89.0,236.05700000000002
90.0,236.24
91.0,236.042
92.0,188.627
93.0,234.79500000000002
94.0,236.038
95.0,234.786
96.0,234.772
97.0,236.038
98.0,188.657
99.0,234.738
100.0,236.02100000000002
101.0,236.01500000000001
102.0,234.77100000000002
103.0,234.793
104.0,236.038
105.0,235.016
106.0,234.784
107.0,188.63400000000001
108.0,234.803
109.0,234.793
110.0,236.03900000000002
111.0,234.806
112.0,234.797
113.0,236.108
114.0,236.018
115.0,234.809
116.0,234.799
117.0,236.038
118.0,236.01500000000001
119.0,234.806
120.0,234.792
121.0,236.04
122.0,188.617
123.0,234.761
124.0,236.032
125.0,234.792
126.0,234.80700000000002
127.0,235.976
128.0,236.035
129.0,234.87
130.0,234.774
131.0,236.007
132.0,234.8
133.0,234.774
134.0,236.006
135.0,236.031
136.0,234.775
137.0,236.03900000000002
138.0,236.01
139.0,234.787
140.0,234.796
141.0,236.041
142.0,236.037
143.0,234.794
144.0,236.04
145.0,236.034
146.0,234.823
147.0,236.041
148.0,236.035
149.0,188.677
150.0,234.738
151.0,236.041
152.0,236.091
153.0,234.794
154.0,234.786
155.0,236.031
156.0,234.93200000000002
157.0,235.99800000000002
158.0,236.04
159.0,235.025
160.0,234.80100000000002
161.0,236.044
162.0,235.022
163.0,234.8
164.0,236.041
165.0,236.035
166.0,234.799
167.0,234.788
168.0,236.04500000000002
169.0,234.802
170.0,234.77100000000002
171.0,236.096
172.0,236.03
173.0,234.802
174.0,234.80100000000002
175.0,236.034
176.0,234.793
177.0,236.043
178.0,236.036
179.0,234.823
180.0,234.796
181.0,236.041
182.0,236.024
183.0,234.80700000000002
184.0,234.796
185.0,235.979
186.0,234.828
187.0,234.761
188.0,236.012
189.0,234.78
190.0,234.782
191.0,236.02
192.0,236.02
193.0,234.793
194.0,234.768
195.0,236.076
196.0,236.01500000000001
197.0,234.802
198.0,234.773
199.0,188.61
200.0,234.803
201.0,235.964
202.0,236.035
203.0,234.787
204.0,234.77
205.0,236.019
206.0,234.852
207.0,187.373
208.0,236.03900000000002
209.0,236.035
210.0,234.816
211.0,234.78
212.0,236.013
213.0,234.802
214.0,234.78
215.0,236.04
216.0,234.804
217.0,234.8
218.0,236.025
219.0,236.019
220.0,234.786
221.0,234.776
222.0,236.05
223.0,236.07
224.0,234.798
225.0,234.787
226.0,234.785
227.0,234.781
228.0,236.019
229.0,236.016
230.0,234.805
231.0,234.774
232.0,236.02100000000002
233.0,236.001
234.0,234.781
235.0,234.78900000000002
236.0,236.011
237.0,234.806
238.0,236.038
239.0,236.026
240.0,234.859
241.0,234.778
242.0,236.048
243.0,236.016
244.0,234.78
245.0,234.773
246.0,236.036
247.0,234.776
248.0,234.772
